Name,Avail 1,Avail 2,Avail 3,Avail 4,Avail 5,Avail 6,Avail 7,Avail 8,Avail 9,Avail 10,Avail 11,Avail 12,Avail 13,Avail 14,Avail 15,Avail 16,Avail 17,Avail 18,Avail 19,Avail 20,Avail 21,Avail 22,Avail 23,Avail 24,Avail 25,Avail 26,Avail 27,Avail 28,Avail 29,Avail 30,Avail 31,Avail 32,Avail 33,Avail 34,Avail 35,Avail 36,Avail 37,Avail 38,Avail 39,Avail 40,Avail 41,Avail 42,Avail 43,Avail 44,Avail 45,Avail 46,Avail 47,Avail 48,Avail 49,Avail 50,Avail 51,Avail 52,Avail 53,Avail 54,Avail 55,Avail 56,Avail 57,Avail 58,Avail 59,Avail 60,Avail 61,Avail 62,Avail 63,Avail 64,Avail 65,Avail 66,Avail 67,Avail 68,Avail 69,Avail 70,Avail 71,Avail 72,Avail 73,Avail 74,Avail 75,Avail 76,Avail 77,Avail 78,Avail 79,Avail 80,Avail 81,Avail 82,Avail 83,Avail 84,Avail 85,Avail 86,Avail 87,Avail 88,Avail 89,Avail 90,Avail 91,Avail 92,Avail 93,Avail 94,Avail 95,Avail 96,Avail 97,Avail 98,Avail 99,Avail 100,Avail 101,Avail 102,Avail 103,Avail 104,Avail 105,Avail 106,Avail 107,Avail 108,Avail 109,Avail 110,Avail 111,Avail 112,Avail 113,Avail 114,Avail 115,Avail 116,Avail 117,Avail 118,Avail 119,Avail 120,Avail 121,Avail 122,Avail 123,Avail 124,Avail 125,Avail 126,Avail 127,Avail 128,Avail 129,Avail 130,Avail 131,Avail 132,Avail 133,Avail 134,Avail 135,Avail 136,Avail 137,Avail 138,Avail 139,Avail 140,Avail 141,Avail 142,Avail 143,Avail 144,Avail 145,Avail 146,Avail 147,Avail 148,Avail 149,Avail 150,Avail 151,Avail 152,Avail 153,Avail 154,Avail 155,Avail 156,Avail 157,Avail 158,Avail 159,Avail 160,Avail 161,Avail 162,Avail 163,Avail 164,Avail 165,Avail 166,Avail 167,Avail 168,Small Coach,Strong Coach,New,Transitioning,T Rqst,T Rqr,M Rqr,Alone,Bart,Bus,Lyft/Uber,Zipcar,Personal Car,Mech,Programming
Wigglytuff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,,1,Convenient,Convenient,Convenient,Not possible,Not possible,Confident,Confident
Weezing,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,5,Convenient,Convenient,Convenient,Inconvenient,Not possible,Very Confident,Very Confident
Vileplume,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,,,,2,Inconvenient,Convenient,Convenient,Not possible,Not possible,Neutral,Somewhat
Venusaur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,2,Inconvenient,Convenient,Convenient,Not possible,Not possible,Not Confident,Somewhat
Tangela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,,,1,Convenient,Convenient,Inconvenient,Not possible,Not possible,Somewhat,Not Confident
Starmie,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,,1,Inconvenient,Convenient,Not possible,Not possible,Not possible,Somewhat,Not Confident
Snorlax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,,,Exeggutor,1,Convenient,Convenient,Inconvenient,Not possible,Not possible,Neutral,Confident
Slowbro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,,1,Inconvenient,Convenient,Not possible,Not possible,Not possible,Somewhat,Somewhat
Seaking,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,,3,Inconvenient,Inconvenient,Convenient,Not possible,Not possible,Neutral,Neutral
Seadra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,,,Lapras,1,Inconvenient,Convenient,Convenient,Inconvenient,Not possible,Confident,Not Confident
